Date,Time,Symbol,Side,Quantity,Price,Commission
2026-01-02,08:44:00,CRML,B,335,7.5400,0
2026-01-02,08:54:00,CRML,S,167,7.8416,0
2026-01-02,08:54:00,CRML,S,168,7.7946,0
2026-01-02,08:44:00,BZAI,B,1262,1.9950,0
2026-01-02,09:32:00,BZAI,S,631,2.0748,0
2026-01-02,09:32:00,BZAI,S,631,2.0551,0
2026-01-02,09:02:00,CRML,B,316,7.8900,0
2026-01-02,09:13:00,CRML,S,316,7.6700,0
2026-01-02,09:13:00,RPAY,S,685,3.6450,0
2026-01-02,10:35:00,RPAY,B,685,3.6800,0
2026-01-02,09:15:00,IMAX,S,69,35.7650,0
2026-01-02,09:24:00,IMAX,B,69,36.0300,0
2026-01-02,09:21:00,VOR,S,185,12.3300,0
2026-01-02,11:42:00,VOR,B,92,11.8368,0
2026-01-02,11:42:00,VOR,B,93,11.8833,0
2026-01-02,09:21:00,NEXA,S,277,8.9700,0
2026-01-02,15:00:00,NEXA,B,277,8.8050,0
2026-01-02,09:25:00,IMSR,B,395,6.3400,0
2026-01-02,15:00:00,IMSR,S,395,6.5150,0
2026-01-02,09:35:00,PARR,B,69,35.7900,0
2026-01-02,15:00:00,PARR,S,69,35.7950,0
2026-01-02,09:40:00,FRMM,B,487,5.1400,0
2026-01-02,10:45:00,FRMM,S,487,5.1000,0
2026-01-02,09:42:00,EVTL,B,452,5.5650,0
2026-01-02,14:57:00,EVTL,S,226,5.7876,0
2026-01-02,14:57:00,EVTL,S,226,5.8293,0
2026-01-02,10:01:00,GRPN,S,144,17.3050,0
2026-01-02,10:02:00,GRPN,B,144,17.3450,0
2026-01-02,10:01:00,SPIR,B,326,7.6600,0
2026-01-02,15:00:00,SPIR,S,326,7.8050,0
2026-01-02,10:05:00,NKTX,B,1326,1.8950,0
2026-01-02,12:16:00,NKTX,S,1326,1.8500,0
2026-01-02,10:11:00,MXL,S,139,17.9800,0
2026-01-02,14:14:00,MXL,B,139,18.3600,0
2026-01-02,10:18:00,NN,B,150,16.6600,0
2026-01-02,10:58:00,NN,S,150,16.2000,0
2026-01-02,10:43:00,ELDN,B,1582,1.5850,0
2026-01-02,15:00:00,ELDN,S,1582,1.6200,0
2026-01-02,14:44:00,IFRX,B,2293,1.1150,0
2026-01-02,15:00:00,IFRX,S,2293,1.0950,0
2026-01-05,08:41:00,SLV,S,36,68.7100,0
2026-01-05,08:52:00,SLV,B,36,69.4500,0
2026-01-05,08:41:00,ACHR,B,300,8.3300,0
2026-01-05,14:07:00,ACHR,S,150,8.6632,0
2026-01-05,14:07:00,ACHR,S,150,8.7367,0
2026-01-05,08:41:00,RKT,B,122,20.4800,0
2026-01-05,14:30:00,RKT,S,61,21.2992,0
2026-01-05,14:30:00,RKT,S,61,21.2202,0
2026-01-05,08:41:00,NIO,S,506,4.9350,0
2026-01-05,15:00:00,NIO,B,506,4.8650,0
2026-01-05,08:43:00,HAL,S,79,31.5950,0
2026-01-05,09:25:00,HAL,B,79,32.2000,0
2026-01-05,08:44:00,ASST,B,2551,0.9840,0
2026-01-05,13:00:00,ASST,S,1275,1.0234,0
2026-01-05,13:00:00,ASST,S,1276,1.0150,0
2026-01-05,08:46:00,ONDS,B,219,11.4500,0
2026-01-05,12:57:00,ONDS,S,109,11.9080,0
2026-01-05,12:57:00,ONDS,S,110,12.1107,0
2026-01-05,08:48:00,NU,B,143,17.3850,0
