Date,Time,Symbol,Side,Quantity,Price,Commission
2025-04-22,08:41:00,SQQQ,S,62,39.8200,0
2025-04-22,11:41:00,SQQQ,B,31,38.2272,0
2025-04-22,11:41:00,SQQQ,B,31,37.8182,0
2025-04-22,08:41:00,SOXL,B,275,9.0800,0
2025-04-22,15:00:00,SOXL,S,275,9.2000,0
2025-04-22,08:44:00,SPXS,S,315,7.9100,0
2025-04-22,11:41:00,SPXS,B,157,7.5936,0
2025-04-22,11:41:00,SPXS,B,158,7.6091,0
2025-04-23,08:42:00,SOXL,B,235,10.7300,0
2025-04-23,10:32:00,SOXL,S,235,10.3600,0
2025-04-23,08:46:00,INTC,B,121,20.7800,0
2025-04-23,15:00:00,INTC,S,121,20.5600,0
2025-04-23,08:50:00,TSLL,S,319,7.9000,0
2025-04-23,09:29:00,TSLL,B,319,8.4500,0
2025-04-23,08:52:00,SQQQ,S,74,33.7750,0
2025-04-23,10:23:00,SQQQ,B,74,34.9600,0
2025-04-23,09:33:00,SPXS,S,364,6.8700,0
2025-04-23,10:23:00,SPXS,B,364,7.0900,0
2025-04-24,08:41:00,SQQQ,S,71,35.0200,0
2025-04-24,09:43:00,SQQQ,B,35,33.6192,0
2025-04-24,09:43:00,SQQQ,B,36,33.9102,0
2025-04-24,08:42:00,NOK,S,514,4.8350,0
2025-04-24,15:00:00,NOK,B,514,4.8550,0
2025-04-24,08:45:00,SOXL,B,225,11.1100,0
2025-04-24,09:10:00,SOXL,S,112,11.5544,0
2025-04-24,09:10:00,SOXL,S,113,11.6389,0
2025-04-24,08:47:00,SPXS,S,348,7.1600,0
2025-04-24,14:12:00,SPXS,B,174,6.8736,0
2025-04-24,14:12:00,SPXS,B,174,6.8916,0
2025-04-24,10:10:00,SQQQ,S,74,33.5600,0
2025-04-24,15:00:00,SQQQ,B,74,32.6900,0
2025-04-24,13:08:00,SOXL,B,207,12.0700,0
2025-04-24,13:12:00,SOXL,S,207,12.0100,0
2025-04-25,08:43:00,BBAI,B,819,3.0650,0
2025-04-25,09:05:00,BBAI,S,409,3.1876,0
2025-04-25,09:05:00,BBAI,S,410,3.2193,0
2025-04-25,08:44:00,OMEX,B,788,1.6950,0
2025-04-25,08:44:00,OMEX,S,394,1.7628,0
2025-04-25,08:44:00,OMEX,S,394,1.7831,0
2025-04-25,09:50:00,INTC,B,126,19.9450,0
2025-04-25,15:00:00,INTC,S,126,20.0500,0
2025-04-25,11:17:00,BBAI,B,764,3.3100,0
2025-04-25,11:39:00,BBAI,S,382,3.4424,0
2025-04-25,11:39:00,BBAI,S,382,3.4169,0
2025-04-28,09:13:00,PLUG,B,1451,1.1400,0
2025-04-28,09:15:00,PLUG,S,725,1.1856,0
2025-04-28,09:15:00,PLUG,S,726,1.1638,0
2025-04-29,09:00:00,GRPN,B,139,18.4700,0
2025-04-29,15:00:00,GRPN,S,139,18.1050,0
2025-04-29,09:01:00,RPAY,B,642,3.9800,0
2025-04-29,15:00:00,RPAY,S,642,4.1000,0
2025-04-29,09:25:00,MXL,S,255,9.9700,0
2025-04-29,15:00:00,MXL,B,255,10.0500,0
2025-04-29,09:25:00,CAR,S,27,93.1200,0
2025-04-29,15:00:00,CAR,B,27,91.7850,0
2025-04-29,09:28:00,SPIR,S,251,10.0950,0
2025-04-29,10:07:00,SPIR,B,125,9.6912,0
2025-04-29,10:07:00,SPIR,B,126,9.7509,0
2025-04-29,09:44:00,NN,B,202,12.5900,0
2025-04-29,15:00:00,NN,S,202,12.6800,0
2025-04-29,09:56:00,IFRX,B,1831,1.4000,0
2025-04-29,09:57:00,IFRX,S,915,1.4560,0
2025-04-29,09:57:00,IFRX,S,916,1.4460,0
2025-04-29,10:06:00,GPRE,S,707,3.6100,0
2025-04-29,14:33:00,GPRE,B,707,3.7000,0
2025-04-29,10:40:00,CRML,B,1750,1.4650,0
2025-04-29,15:00:00,CRML,S,1750,1.4400,0
2025-04-29,10:45:00,SPIR,S,265,9.6450,0
2025-04-29,13:55:00,SPIR,B,265,9.8200,0
2025-04-29,11:03:00,IFRX,B,1756,1.4600,0
2025-04-29,13:34:00,IFRX,S,878,1.5184,0
2025-04-29,13:34:00,IFRX,S,878,1.5154,0
2025-04-29,12:00:00,BZAI,B,1074,2.3900,0
2025-04-29,15:00:00,BZAI,S,1074,2.4000,0
2025-04-29,14:20:00,ACHV,B,1079,2.3900,0
2025-04-29,15:00:00,ACHV,S,1079,2.4200,0
2025-04-29,14:55:00,SHMD,B,683,3.8000,0
2025-04-29,15:00:00,SHMD,S,683,3.8400,0
2025-04-29,14:56:00,LZM,B,747,3.4400,0
2025-04-29,15:00:00,LZM,S,747,3.4300,0
2025-04-30,08:43:00,SBUX,B,33,77.8100,0
