date,opened_at,closed_at,ticker,strategy,direction,entry,tp_price,exit,qty,pnl,status,duration_min
2026-04-06,2026-04-06T08:45:00-05:00,2026-04-06T08:52:00-05:00,EVTL,ORBState,short,2.3800,,2.4300,1046,-52.30,closed_no_tp,7.0
2026-04-06,2026-04-06T08:45:00-05:00,2026-04-06T15:00:00-05:00,CRML,ORBState,short,8.3000,,8.1050,298,58.11,open_eod,375.0
2026-04-06,2026-04-06T09:05:00-05:00,2026-04-06T15:00:00-05:00,IMAX,ORBState,short,39.7500,,39.3300,62,26.04,open_eod,355.0
2026-04-06,2026-04-06T09:06:00-05:00,2026-04-06T11:52:00-05:00,EVTL,BreakoutShortState,short,2.3600,2.2900,2.3400,1057,47.54,closed_with_tp,166.0
2026-04-06,2026-04-06T09:08:00-05:00,2026-04-06T15:00:00-05:00,VOR,ORBState,short,17.2200,,16.2900,144,133.92,open_eod,352.0
2026-04-06,2026-04-06T09:13:00-05:00,2026-04-06T10:17:00-05:00,RPAY,ORBState,short,2.6050,,2.6600,957,-52.64,closed_no_tp,64.0
2026-04-06,2026-04-06T09:15:00-05:00,2026-04-06T15:00:00-05:00,MRLN,ORBState,short,7.3700,,6.9150,222,101.01,open_eod,345.0
2026-04-06,2026-04-06T09:19:00-05:00,2026-04-06T10:03:00-05:00,ACHV,ORBState,short,3.1700,,3.2700,781,-78.10,closed_no_tp,44.0
2026-04-06,2026-04-06T09:21:00-05:00,2026-04-06T10:02:00-05:00,CADL,BreakoutLongState,long,5.1550,,5.1150,486,-19.44,closed_no_tp,41.0
2026-04-06,2026-04-06T09:22:00-05:00,2026-04-06T15:00:00-05:00,NN,ORBState,short,16.5800,,16.6200,150,-6.00,open_eod,338.0
2026-04-06,2026-04-06T09:23:00-05:00,2026-04-06T15:00:00-05:00,GRPN,ORBState,long,11.9100,12.1700,12.0600,210,43.05,open_eod,337.0
2026-04-06,2026-04-06T09:25:00-05:00,2026-04-06T15:00:00-05:00,SPIR,ORBState,short,15.6700,15.0150,15.5100,157,63.73,open_eod,335.0
2026-04-06,2026-04-06T09:52:00-05:00,2026-04-06T15:00:00-05:00,LGN,ORBState,short,54.8800,,55.0650,45,-8.32,open_eod,308.0
2026-04-06,2026-04-06T10:13:00-05:00,2026-04-06T11:20:00-05:00,FRMM,ORBState,short,2.5200,2.3436,2.3436,930,164.05,closed_with_tp,67.0
2026-04-06,2026-04-06T10:13:00-05:00,2026-04-06T15:00:00-05:00,SHMD,ORBState,short,5.0100,,5.1400,499,-64.87,open_eod,287.0
2026-04-06,2026-04-06T13:38:00-05:00,2026-04-06T15:00:00-05:00,CAR,ORBState,long,201.6300,,212.5650,12,131.22,open_eod,82.0
2026-04-06,2026-04-06T14:23:00-05:00,2026-04-06T15:00:00-05:00,OPTX,ORBState,short,8.8900,,9.1300,279,-66.96,open_eod,37.0
2026-04-07,2026-04-07T08:41:00-05:00,2026-04-07T08:45:00-05:00,CETX,ORBState,short,1.5350,1.4275,1.4275,1000,107.45,closed_with_tp,4.0
2026-04-07,2026-04-07T08:46:00-05:00,2026-04-07T15:00:00-05:00,PLUG,ORBState,short,2.5750,,2.5200,970,53.35,open_eod,374.0
2026-04-07,2026-04-07T08:51:00-05:00,2026-04-07T09:02:00-05:00,AIXI,ORBState,short,0.9749,,1.1800,1073,-220.07,closed_no_tp,11.0
2026-04-07,2026-04-07T09:51:00-05:00,2026-04-07T09:56:00-05:00,AIXI,BreakoutLongState,long,1.5500,1.6585,1.6585,952,103.29,closed_with_tp,5.0
2026-04-08,2026-04-08T08:41:00-05:00,2026-04-08T15:00:00-05:00,PLUG,ORBState,short,2.6250,,2.6500,950,-23.75,open_eod,379.0
2026-04-08,2026-04-08T08:41:00-05:00,2026-04-08T15:00:00-05:00,AAL,ORBState,short,11.8750,11.5550,11.4200,210,81.38,open_eod,379.0
2026-04-08,2026-04-08T08:42:00-05:00,2026-04-08T11:48:00-05:00,EEM,ORBState,short,60.6050,59.9989,60.5160,41,13.99,closed_with_tp,186.0
2026-04-08,2026-04-08T08:42:00-05:00,2026-04-08T11:50:00-05:00,WULF,ORBState,short,17.4300,,18.0600,142,-89.46,closed_no_tp,188.0
2026-04-08,2026-04-08T08:42:00-05:00,2026-04-08T13:41:00-05:00,NOK,ORBState,long,9.2550,9.4000,9.3700,270,35.10,closed_with_tp,299.0
